HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005010320,032,032,533,533,NY005220D,BRONX RIVER,CONVENTIONAL,NEW CONST,,,"1,245","1,246","5,938.5",4.77,,"3,062","3,062",9,1,10,14,"607,297",13.94,"563,737",12.94,"84,235","10,772,413",13.87%,220,"$12,719,000","$2,131",$482.78,BRONX RIVER AVE,BRONX,9,15,32,85,18,2/28/1951,1978/07/01-ATP 3,,,,,,2016
NY005010320,157,032,533,533,NY005220D,BRONX RIVER ADDITION,CONVENTIONAL,NEW CONST (ELD),,,226,226,640,2.83,,240,240,2,0,2,6-14,"62,500",1.43,"62,500",1.43,"12,286","1,529,115",19.66%,168,"$3,928,000","$6,128",$273.99,E 172ND ST,BRONX,9,15,32,85,18,2/28/1966,1978/07/01-ATP 3,EXCLUSIVELY,,,,,2016
NY005015300,235,530,352,748,NY005145,BRYANT AVENUE-EAST 174TH STREET,TURNKEY,NEW CONST,,,72,72,284,3.94,,135,135,1,0,1,6,"22,500",0.52,"22,500",0.52,"9,879","672,864",43.91%,260,"$2,132,334","$7,315",$448.70,E 174TH ST,BRONX,3,15,32,79,17,8/31/1972,,,,YES,,,2016
NY005001130,113,113,435,435,NY005362,BUTLER,CONVENTIONAL,NEW CONST,,,"1,476","1,492","7,217",4.89,,"4,470","4,470",6,1,7,21,"558,096",12.81,"558,096",12.81,"88,255","13,527,100",15.81%,349,"$29,633,000","$4,068",$469.08,E 169TH ST,BRONX,3,15,33,79,16,12/31/1964,1995/07/13-PTA,,,,,,2016
NY005020800,080,080,431,431,NY005371,CASTLE HILL,CONVENTIONAL,NEW CONST,,318,"2,024","2,025","9,769",4.83,"1,001","4,170","5,171",14,0,14,12-20,"1,801,346",41.35,"1,757,585",40.35,"176,917","19,247,987",9.82%,125,"$28,454,000","$2,915",$459.06,OLMSTEAD AVE,BRONX,9,15,32,87,18,12/15/1960,,,,,,,2016
NY005013420,334,342,779,753,NY005253,CLAREMONT PARKWAY-FRANKLIN AVENUE,TURNKEY,NEW CONST,FEDERAL,,187,188,729.5,3.9,,290,290,3,0,13,3-7,"134,390",3.09,"134,390",3.09,"35,258","1,584,850",26.24%,94,"$12,645,913","$17,252",$377.74,CLAREMONT PKWY,BRONX,3,15,33,79,16,12/16/1986,,PARTIALLY,YES,,,,2016
NY005013080,307,308,330,750,NY005246,CLAREMONT REHAB (GROUP 2),TURNKEY,REHAB,FEDERAL,,106,107,455,4.29,,263,263,6,0,6,5-6,"31,874",0.73,"31,874",0.73,"21,948","3,488,634",68.86%,360,"$11,430,362","$24,822",$403.16,CLAY AVE,BRONX,4,15,32,77,16,12/31/1987,,,YES,,,,2016
NY005013080,308,308,750,750,NY005223,CLAREMONT REHAB (GROUP 3),TURNKEY,REHAB,FEDERAL,,107,115,470.5,4.4,,272,272,5,0,5,5,"35,423",0.81,"35,423",0.81,"21,985","1,538,950",62.06%,336,"$7,234,594","$14,061",$471.61,E 167TH ST,BRONX,4,15,32,77,16,2/28/1985,,,YES,,,,2016
NY005013080,335,308,751,750,NY005273,CLAREMONT REHAB (GROUP 4),TURNKEY,REHAB,FEDERAL,,149,150,654.5,4.39,,352,352,9,0,9,4-5,"45,636",1.05,"45,636",1.05,"29,519","2,656,710",64.68%,335,"$10,283,674","$15,605",$438.87,E 169TH ST,BRONX,4,15,32,77,16,10/23/1986,,,YES,,,,2016
NY005013080,336,308,752,750,NY005274,CLAREMONT REHAB (GROUP 5),TURNKEY,REHAB,FEDERAL,,129,135,560.5,4.34,,312,312,3,0,3,5,"53,898",1.24,"53,898",1.24,"28,605","2,927,721",53.07%,252,"$8,551,169","$14,555",$454.59,COLLEGE AVE,BRONX,4,15,32,77,16,11/30/1985,,,YES,,,,2016
NY005012800,011,280,208,506,NY005007,CLASON POINT GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,401,401,"1,893.5",4.72,,903,903,46,0,192,2,"742,013",17.03,"742,013",17.03,"154,304","3,388,939",20.80%,53,"$2,067,000","$1,116",$546.75,STORY AVE,BRONX,9,15,34,85,18,12/20/1941,,,,,,,2016
NY005013080,236,308,351,344,NY005148,COLLEGE AVENUE-EAST 165TH STREET,TURNKEY,NEW CONST (ELD),FEDERAL,,95,95,307.5,3.24,,98,98,1,0,1,6,"22,146",0.51,"22,146",0.51,"10,022","784,399",45.25%,192,"$2,518,156","$7,869",$278.38,E 166TH ST,BRONX,4,15,32,77,16,7/31/1972,,EXCLUSIVELY,,,,,2016
NY005013420,190,342,301,301,NY005096A,DAVIDSON,CONVENTIONAL,NEW CONST,FEDERAL,,175,175,841.5,4.81,,484,484,1,0,2,8,"82,967",1.9,"82,967",1.9,"24,796","1,647,000",29.89%,255,"$8,704,709","$10,259",$475.16,PROSPECT AVE,BRONX,3,15,32,79,17,8/31/1973,,PARTIALLY,,,,,2016
NY005000590,224,059,343,236,NY005165,EAGLE AVENUE-EAST 163RD STREET,TURNKEY,NEW CONST,FEDERAL,,66,66,279,4.23,,131,131,1,0,1,6,"28,125",0.65,"28,125",0.65,"9,828","598,000",34.94%,202,"$1,710,901","$6,078",$457.02,EAGLE AVE,BRONX,3,15,32,79,17,5/31/1971,,,,,,,2016
NY005010280,237,028,360,360,NY005154,EAST 152ND STREET-COURTLANDT AVENUE,TURNKEY,NEW CONST,FEDERAL,,221,221,913.5,4.13,,383,383,2,0,2,11-14,"63,175",1.45,"63,175",1.45,"21,301","1,801,668",33.72%,264,"$7,717,944","$8,330",$369.78,E 151ST ST,BRONX,1,15,32,84,17,8/31/1973,,PARTIALLY,,,,,2016
NY005015300,304,530,552,748,NY005226,EAST 165TH STREET-BRYANT AVENUE,TURNKEY,NEW CONST,FEDERAL,,111,111,588.5,5.3,,370,370,5,0,19,3,"137,566",3.16,"137,566",3.16,"41,134","1,286,795",29.90%,117,"$8,178,643","$13,874",$616.56,WESTCHESTER AVE,BRONX,2,15,32,85,17,10/31/1987,,,YES,YES,,,2016
NY005015300,338,530,778,748,NY005252,EAST 173RD STREET-VYSE AVENUE,TURNKEY,NEW CONST,FEDERAL,,168,168,758,4.51,,423,423,7,0,28,3,"196,060",4.5,"196,060",4.5,"59,524","1,547,624",28.46%,94,"$12,629,936","$16,684",$492.75,SOUTHERN BLVD,BRONX,3,15,32,79,17,10/31/1987,,,YES,YES,,,2016
NY005012270,208,227,323,363,NY005124,EAST 180TH STREET-MONTEREY AVENUE,CONVENTIONAL,NEW CONST,FEDERAL,,239,239,"1,052.5",4.4,,545,545,1,1,3,10,"78,743",1.81,"78,743",1.81,"30,800","2,072,776",39.11%,301,"$8,727,000","$8,221",$491.59,E 180TH ST,BRONX,6,15,33,86,15,9/30/1973,,,,,,,2016
NY005010340,034,034,313,313,NY005114A,EASTCHESTER GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,876,877,"4,244",4.84,,"2,071","2,071",10,0,15,7-8,"653,856",15.01,"607,396",13.94,"115,918","7,891,470",17.73%,138,"$9,514,000","$2,244",$517.58,BURKE AVE,BRONX,11,16,36,83,12,6/1/1950,1968/08/29-FED TRAN,,,,,,2016
NY005000570,057,057,214,214,NY005019,EDENWALD,CONVENTIONAL,NEW CONST,FEDERAL,,"2,035","2,039","9,675.5",4.75,,"5,031","5,031",40,2,71,3-14,"2,129,275",48.88,"2,023,005",46.44,"344,433","17,847,449",16.18%,103,"$22,862,156","$2,359",$523.80,GRENADA PL,BRONX,12,16,36,83,12,10/30/1953,,,,,,,2016
NY005000590,059,059,535,535,NY005220F,FOREST,CONVENTIONAL,NEW CONST,FEDERAL,,"1,348","1,350","6,154",4.57,,"3,144","3,144",15,0,15,9-10-14,"771,920",17.72,"700,087",16.07,"125,002","11,465,400",16.19%,177,"$19,576,000","$3,186",$456.07,TINTON AVE,BRONX,3,15,32,79,16,11/12/1956,1978/07/01-ATP 3,,,,,,2016
NY005012020,197,197,308,311,NY005110,FORT INDEPENDENCE STREET-HEATH AVENUE,TURNKEY,NEW CONST,FEDERAL,,342,344,"1,509",4.41,,749,749,1,0,2,21,"149,152",3.42,"149,152",3.42,"25,162","3,321,343",16.87%,219,"$10,566,070","$6,933",$471.33,FT INDEPENDENCE ST,BRONX,8,13,33,81,14,11/30/1974,,,,,,,2016
NY005015310,525,531,479,482,NY005314,FRANKLIN AVENUE I CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,,60,61,264,4.4,,130,130,3,0,3,5,"28,251",0.65,"28,251",0.65,"10,811","649,812",38.27%,200,"$5,015,464","$17,629",$491.00,E 169TH ST,BRONX,3,15,33,79,16,8/31/1994,,,YES,YES,,,2016
NY005015310,531,531,482,482,NY005346,FRANKLIN AVENUE II CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,,45,45,196.5,4.37,,92,92,3,0,3,5,"19,319",0.44,"19,319",0.44,"8,080","508,109",41.82%,209,"$3,401,250","$17,309",$386.00,E 169TH ST,BRONX,3,15,33,79,16,8/31/1994,,,YES,YES,,,2016
NY005015310,524,531,480,482,NY005348,FRANKLIN AVENUE III CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,,15,15,65.5,4.37,,36,36,1,0,1,5,"4,200",0.1,"4,200",0.1,"2,803","150,400",66.74%,360,"$1,189,930","$18,167",$450.00,FRANKLIN AVE,BRONX,3,15,33,79,16,8/31/1994,,,YES,YES,,,2016
NY005010670,225,067,342,222,NY005147,GLEBE AVENUE-WESTCHESTER AVENUE,TURNKEY,NEW CONST (ELD),FEDERAL,,131,132,434.5,3.32,,148,148,1,0,1,6,"47,204",1.08,"47,204",1.08,"18,734","1,123,122",39.69%,137,"$3,356,367","$7,467",$324.89,GLEBE AVE,BRONX,10,14,34,87,18,12/31/1971,,EXCLUSIVELY,,,,,2016
NY005010470,040,047,579,579,NY005267A,GUN HILL,CONVENTIONAL,NEW CONST,FEDERAL,,732,733,"3,126",4.27,,"1,482","1,482",6,0,6,14,"345,256",7.93,"314,070",7.21,"54,684","6,221,645",15.84%,187,"$8,709,286","$2,784",$485.63,HOLLAND AVE,BRONX,12,16,36,83,12,11/30/1950,1980/07/01-ATP 5,,,,,,2016
NY005013410,347,341,772,762,NY005231,HARRISON AVENUE REHAB (GROUP A),TURNKEY,REHAB,FEDERAL,,34,34,146,4.29,,69,69,1,0,1,5,"9,167",0.21,"9,167",0.21,"6,698","404,958",73.07%,329,"$2,368,803","$16,225",$501.00,HARRISON AVE,BRONX,5,15,29,86,14,9/1/1986,,,YES,YES,,,2016
NY005013410,547,341,773,762,NY005287,HARRISON AVENUE REHAB (GROUP B),TURNKEY,REHAB,FEDERAL,,149,150,658.5,4.42,,314,314,4,0,4,5-6,"44,753",1.03,"44,753",1.03,"29,954","1,856,310",66.93%,305,"$10,059,298","$15,150",$401.00,UNIVERSITY PL,BRONX,5,15,29,86,14,12/1/1986,,,YES,YES,,,2016
NY005000780,078,078,229,229,NY005026,HIGHBRIDGE GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,700,700,"3,252",4.65,,"1,645","1,645",6,0,6,13-14,"496,875",11.41,"496,875",11.41,"55,678","5,837,785",10.12%,144,"$7,547,875","$2,321",$488.27,SEDGWICK AVE,BRONX,4,15,29,77,16,6/18/1954,,,,,,,2016
NY005015310,370,531,808,482,NY005312,HIGHBRIDGE REHABS (ANDERSON AVENUE),TURNKEY,REHAB,FEDERAL,,135,135,640.5,4.74,,364,364,4,0,4,5-6,"36,729",0.84,"36,729",0.84,"27,249","1,778,952",74.19%,433,"$13,271,641","$20,721",$432.00,ANDERSON AVE,BRONX,4,15,29,"77, 84","8, 16",4/30/1997,,,YES,YES,,,2016
NY005015310,371,531,809,482,NY005313,HIGHBRIDGE REHABS (NELSON AVENUE),TURNKEY,REHAB,FEDERAL,,80,80,380,4.75,,212,212,3,0,3,5-6,"37,492",0.87,"37,492",0.87,"18,840","1,042,289",50.25%,244,"$8,428,841","$22,181",$543.00,W 166TH ST,BRONX,4,15,29,77,16,10/31/1996,,,YES,YES,,,2016
NY005015300,215,530,333,748,NY005164,HOE AVENUE-EAST 173RD STREET,TURNKEY,NEW CONST,FEDERAL,,65,65,270.5,4.16,,143,143,1,0,1,6,"22,000",0.51,"22,000",0.51,"9,242","602,580",42.01%,280,"$1,583,566","$5,801",$445.63,HOE AVE,BRONX,3,15,32,79,17,12/31/1970,,,,YES,,,2016
NY005015300,367,530,806,748,NY005299,HUNTS POINT AVENUE REHAB,TURNKEY,REHAB,FEDERAL,,131,131,605.5,4.62,,328,328,13,0,13,4-5,"58,206",1.34,"58,206",1.34,"35,180","1,540,888",60.44%,245,"$13,280,604","$21,933",$439.02,LAFAYETTE AVE,BRONX,2,15,"32, 34",85,17,11/30/1991,,,YES,YES,,,2016
NY005012670,120,267,243,243,NY005043,JACKSON,CONVENTIONAL,NEW CONST,FEDERAL,,868,868,"4,137",4.77,,"2,362","2,362",7,1,7,16,"343,403",7.88,"343,403",7.88,"59,552","7,682,714",17.34%,300,"$14,850,303","$3,590",$471.58,PARK AVE,BRONX,1,15,32,79,17,7/31/1963,,,,,,,2016
NY005015300,362,530,794,748,NY005295,LONGFELLOW AVENUE REHAB,TURNKEY,REHAB,,,75,75,412.5,5.5,,287,287,2,0,2,5,"26,724",0.61,"26,724",0.61,"16,773","1,060,415",62.76%,470,"$7,044,209","$17,077",$609.08,WESTCHESTER AVE,BRONX,2,15,32,85,17,10/31/1990,,,YES,YES,,,2016
NY005020490,049,049,638,638,NY005379,MARBLE HILL,CONVENTIONAL,NEW CONST,,212,"1,682","1,682","7,119",4.23,502,"2,868","3,370",11,1,11,14-15,"724,809",16.64,"652,495",14.98,"111,631","13,300,359",15.40%,203,"$17,882,055","$2,539",$480.14,EXTERIOR ST,BRONX,8,13,"31, 33","72, 81","10, 11, 14",3/6/1952,,,,,,,2016
NY005000590,103,059,236,236,NY005031,MCKINLEY,CONVENTIONAL,NEW CONST,,,616,619,"2,932",4.76,,"1,535","1,535",5,1,5,16,"289,985",6.66,"233,735",5.37,"41,286","5,580,675",14.24%,230,"$10,418,410","$3,535",$463.56,E 161ST ST,BRONX,3,15,32,79,16,7/31/1962,,,,,,,2016
NY005010280,028,028,523,523,NY005216B,MELROSE,CONVENTIONAL,NEW CONST,,,"1,020","1,023","4,850",4.75,,"2,510","2,510",8,1,9,14,"541,687",12.44,"498,060",11.43,"68,826","8,736,312",12.71%,202,"$12,236,000","$2,515",$446.98,MORRIS AVE,BRONX,1,15,32,79,17,6/20/1952,1978/02/01-ATP 2,,,,,,2016
NY005010340,191,034,302,313,NY005096B,MIDDLETOWN PLAZA,CONVENTIONAL,NEW CONST (ELD),,,177,179,602.5,3.4,,198,198,1,0,1,15,"49,309",1.13,"49,309",1.13,"10,076","1,078,917",20.43%,175,"$6,090,291","$9,776",$320.16,ROBERTS AVE,BRONX,10,14,34,82,13,8/31/1973,,EXCLUSIVELY,,,,,2016
NY005010840,084,084,570,570,NY005244C,MILL BROOK,CONVENTIONAL,NEW CONST,,,"1,251","1,255","5,798.5",4.64,,"2,911","2,911",9,0,9,16,"539,327",12.38,"495,067",11.37,"76,410","10,446,587",14.17%,235,"$22,176,000","$3,898",$434.83,E 135TH ST,BRONX,1,15,29,84,8,5/26/1959,1979/08/01-ATP 4,,,,,,2016
NY005010840,132,084,570,570,NY005244C,MILL BROOK EXTENSION,CONVENTIONAL,NEW CONST,,,125,125,611.5,4.89,,318,318,1,0,1,16,"22,500",0.52,"22,500",0.52,"8,660","1,130,657",38.49%,612,"$1,957,000","$3,198",$458.47,CYPRESS AVE,BRONX,1,15,29,84,8,1/31/1962,1979/08/01-ATP 4,,,,,,2016
NY005011450,145,145,249,249,NY005050,MITCHEL,CONVENTIONAL,NEW CONST,FEDERAL,,"1,731","1,732","7,546.5",4.36,,"4,109","4,109",10,1,12,17-19-20,"699,494",16.06,"653,938",15.01,"97,114","14,044,919",13.88%,256,"$33,012,851","$4,350",$448.87,LINCOLN AVE,BRONX,1,15,29,84,8,2/28/1966,,PARTIALLY,,,,,2016
NY005000880,088,088,234,234,NY005036,MONROE,CONVENTIONAL,NEW CONST,FEDERAL,,"1,101","1,102","5,302.5",4.82,,"2,700","2,700",12,1,20,8-14-15,"805,341",18.49,"805,341",18.49,"118,402","10,177,348",14.70%,146,"$16,449,659","$3,100",$466.22,SOUNDVIEW AVE,BRONX,9,15,32,85,18,11/2/1961,,,,,,,2016
NY005010930,129,093,251,251,NY005080,MOORE,CONVENTIONAL,NEW CONST,FEDERAL,,463,463,"2,165.5",4.68,,"1,130","1,130",2,0,4,20,"117,000",2.69,"117,000",2.69,"21,826","4,029,275",18.65%,420,"$7,256,661","$3,350",$462.55,E 147TH ST,BRONX,1,15,29,84,8,3/31/1964,,,,,,,2016
NY005011020,102,102,239,239,NY005037,MORRIS I,CONVENTIONAL,NEW CONST,FEDERAL,,"1,083","1,085","5,237.5",4.84,,"2,888","2,888",10,0,10,16-20,"416,831",9.57,"416,831",9.57,"66,594","9,980,542",15.98%,302,"$20,735,295","$4,008",$460.95,PARK AVE,BRONX,3,15,33,79,16,8/31/1965,,,,,,,2016
NY005011020,502,102,280,239,NY005079,MORRIS II,CONVENTIONAL,NEW CONST,FEDERAL,,801,802,"3,758.5",4.69,,"2,039","2,039",7,0,7,16-20,"358,843",8.24,"313,704",7.2,"51,875","7,162,265",14.46%,247,"$15,391,181","$4,008",$482.79,PARK AVE,BRONX,3,15,33,79,16,8/31/1965,,,,,,,2016
NY005011410,130,141,250,231,NY005048,MORRISANIA,CONVENTIONAL,NEW CONST,FEDERAL,,206,206,962,4.67,,516,516,2,0,2,16,"60,890",1.4,"60,890",1.4,"13,024","1,769,693",21.39%,369,"$3,742,711","$3,891",$372.53,E 169TH ST,BRONX,3,15,32,79,16,5/31/1963,,,,,,,2016
NY005012670,267,267,385,385,NY005190,MORRISANIA AIR RIGHTS,TURNKEY,NEW CONST,FEDERAL,,842,843,"3,792",4.5,,"1,803","1,803",3,0,5,19-23-29,"274,300",6.3,"274,300",6.3,"64,435","11,316,800",23.49%,286,"$40,272,504","$10,584",$457.76,PARK AVE,BRONX,"3, 4",15,32,79,"16, 17",1/1/1981,,PARTIALLY,,,,,2016
NY005001210,121,121,244,244,NY005044,MOTT HAVEN,CONVENTIONAL,NEW CONST,,,992,993,"4,634",4.67,,"2,585","2,585",8,1,9,20-22,"417,367",9.58,"386,817",8.88,"78,477","9,236,613",18.80%,270,"$20,670,000","$4,456",$477.47,E 140TH ST,BRONX,1,15,29,84,8,3/31/1965,,,,,,,2016
NY005021330,133,133,447,447,NY005381,MURPHY,CONVENTIONAL,NEW CONST,,106,281,281,"1,294.5",4.61,258,452,710,2,0,2,20,"114,593",2.63,"114,593",2.63,"20,188","2,548,312",17.62%,270,"$5,539,000","$4,277",$438.41,CROTONA AVE,BRONX,6,15,33,79,15,3/31/1964,,,,,,,2016
NY005010470,047,047,580,580,NY005267B,PARKSIDE,CONVENTIONAL,NEW CONST,,,878,879,"3,709",4.22,,"1,731","1,731",14,0,20,6-7-14-15,"485,455",11.14,"453,178",10.4,"96,415","7,454,500",19.86%,155,"$9,676,316","$2,606",$462.37,ADEE AVE,BRONX,11,14,36,80,15,6/12/1951,1980/07/01-ATP 5,,,,,,2016
NY005000240,024,024,522,522,NY005216A,PATTERSON,CONVENTIONAL,NEW CONST,,,"1,790","1,791","8,514",4.76,,"4,362","4,362",15,0,25,6-13,"748,573",17.18,"702,358",16.12,"167,841","14,503,544",22.42%,254,"$20,731,000","$2,433",$461.95,MORRIS AVE,BRONX,1,15,29,84,8,12/31/1950,1978/02/01-ATP 2,,,,,,2016
NY005010390,039,039,586,586,NY005271A,PELHAM PARKWAY,CONVENTIONAL,NEW CONST,,,"1,265","1,266","5,446.5",4.31,,"2,579","2,579",23,0,38,6,"1,034,160",23.74,"967,252",22.21,"184,875","10,665,277",17.88%,109,"$15,295,753","$2,806",$518.78,PELHAM PKWY,BRONX,11,14,34,80,13,6/30/1950,1980/10/01-ATP 7,,,,,,2016
NY005010630,245,063,364,218,NY005179,RANDALL AVENUE-BALCOM AVENUE,TURNKEY,NEW CONST (ELD),,,251,252,823.5,3.28,,274,274,3,0,3,6,"230,000",5.28,"230,000",5.28,"48,175","1,582,410",20.95%,52,"$9,186,414","$10,757",$334.60,RANDALL AVE,BRONX,10,14,34,82,13,10/31/1978,,EXCLUSIVELY,,,,,2016
